"","Question","Species","logScale","N","Neff","sum_CL","mu","sum_square","se","dn","up","mu_natural","dn_natural","up_natural"
"1",4,"Allis Shad",TRUE,11,8.96296296296296,550,-10.3616329184732,1259.20080123862,0.536202461158639,-10.8978353796318,-9.82543045731457,3.16227766016838e-05,1.84982323400454e-05,5.40592193685002e-05
"2",4,"Twaite Shad",TRUE,12,9.38297872340426,525,-10.0875156454977,1981.90000796454,0.671061056192133,-10.7585767016899,-9.41645458930559,4.15956216307185e-05,2.12622639567814e-05,8.13740127750633e-05
"3",4,"River Lamprey",TRUE,8,7.2,300,-9.21034037197618,530.18981104784,0.533899134209442,-9.74423950618562,-8.67644123776674,1e-04,5.86314388449073e-05,0.000170556960514856
"4",4,"Sea Lamprey",TRUE,14,12.1,550,-8.79168853688635,1759.2661912042,0.536812900634232,-9.32850143752059,-8.25487563625212,0.000151991108295294,8.885529258278e-05,0.000259987855864746
"5",4,"Salmon",TRUE,18,16.2253521126761,1200,-7.86716573439632,2606.76657098521,0.377725909740464,-8.24489164413679,-7.48943982465586,0.000383118684955729,0.000262596573606732,0.000558955986158548
"6",4,"Sea Trout",TRUE,15,12.3737373737374,875,-7.63142487963741,2060.16612292875,0.454983341815453,-8.08640822145286,-7.17644153782196,0.00048496934285282,0.000307692939653241,0.000764383036452358
"7",4,"Sturgeon",TRUE,6,4.9,350,-12.3352772838967,956.235194925568,0.836981842300701,-13.1722591261974,-11.498295441596,4.39397056076079e-06,1.90265719297124e-06,1.01473756597646e-05
"8",4,"Smelt",TRUE,6,5.55555555555556,250,-7.13801378828154,649.482518533604,0.755167089687162,-7.8931808779687,-6.38284669859438,0.000794328234724282,0.000373280325396698,0.00169030431435049
"9",4,"Eel",TRUE,16,13.7640449438202,875,-13.2892053938514,4794.43071990404,0.655194638375802,-13.9444000322272,-12.6340107554755,1.69266661503787e-06,8.7907112015998e-07,3.25925878345584e-06
"10",4,"Mullet",TRUE,6,5.44444444444444,175,-10.8550440098291,719.543314993497,0.961835286978677,-11.8168792968077,-9.8932087228504,1.93069772888325e-05,7.37894932917348e-06,5.05165919161078e-05
"11",4,"Flounder",TRUE,5,4.5,150,-9.59410455414186,110.456210634967,0.45868592976223,-10.0527904839041,-9.13541862437962,6.81292069057962e-05,4.30654079058192e-05,0.000107779980715929
